Age,Workclass,fnlwgt,Education,Education_Num,Martial_Status,Occupation,Relationship,Race,Sex,Capital_Gain,Capital_Loss,Hours_per_week,Country,Target,Target_predicted
44, Private,197033.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
39, Self-emp-not-inc,189922.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,60.0, United-States,1,0
32, Self-emp-inc,225053.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999.0,0.0,60.0, United-States,1,1
72,,305145.0, Bachelors,13.0, Widowed,, Not-in-family, White, Male,0.0,0.0,4.0, United-States,0,0
56, Private,178787.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
50, Private,237868.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,1887.0,55.0, United-States,1,1
52, Private,131662.0, Bachelors,13.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,45.0, United-States,0,0
28, Self-emp-not-inc,183151.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,1,0
48, Private,285570.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
51, Private,197189.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States,0,1
72, Private,181494.0, HS-grad,9.0, Widowed, Other-service, Unmarried, White, Female,0.0,0.0,25.0, United-States,0,0
70, Self-emp-not-inc,177806.0, Assoc-voc,11.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
67, Self-emp-not-inc,176388.0, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States,1,0
55,,105582.0, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,0.0,0.0,35.0, United-States,0,0
45, Self-emp-not-inc,127948.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States,0,1
61, Private,359367.0, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
36, State-gov,173273.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, Black, Female,0.0,0.0,40.0, United-States,0,0
23, State-gov,389792.0, Bachelors,13.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,30.0, United-States,0,0
55, Private,124771.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024.0,0.0,50.0, United-States,1,1
21, Private,431745.0, Some-college,10.0, Never-married, Other-service, Not-in-family, Black, Female,0.0,0.0,10.0, United-States,0,0
30, Private,94145.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, Black, Male,0.0,0.0,40.0, United-States,0,0
33, Private,90409.0, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,45.0, United-States,0,0
32, Private,105749.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,1,1
50, Private,185283.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
32, Private,96480.0, Some-college,10.0, Never-married, Protective-serv, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
19, Private,153019.0, HS-grad,9.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,40.0, United-States,0,0
27, Private,146760.0, Some-college,10.0, Never-married, Other-service, Own-child, Black, Female,0.0,0.0,40.0, United-States,0,0
32, Private,206609.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, United-States,0,0
47, Private,127303.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
48, Private,352614.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688.0,0.0,40.0,,1,1
25, Private,127784.0, Some-college,10.0, Never-married, Sales, Unmarried, White, Female,0.0,0.0,40.0, United-States,0,0
39, Private,185084.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,55.0, United-States,0,0
47, Private,156926.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,1,1
33, Private,496743.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,88.0, United-States,0,0
26, Private,98114.0, HS-grad,9.0, Divorced, Exec-managerial, Own-child, White, Female,0.0,0.0,40.0, United-States,0,0
25, Private,264136.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,60.0, United-States,0,0
64, Self-emp-not-inc,217380.0, Prof-school,15.0, Divorced, Prof-specialty, Not-in-family, White, Male,0.0,2559.0,60.0, United-States,1,1
44, Private,238188.0, Assoc-acdm,12.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,0,1
21, Private,194096.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States,0,0
24, Private,396099.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
50, State-gov,392668.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,1,1
47, Private,98828.0, HS-grad,9.0, Widowed, Prof-specialty, Unmarried, Other, Female,0.0,0.0,35.0, Puerto-Rico,0,0
33, Private,202191.0, Some-college,10.0, Never-married, Adm-clerical, Unmarried, Black, Female,0.0,0.0,35.0, United-States,0,0
19, Private,132717.0, HS-grad,9.0, Married-civ-spouse, Other-service, Own-child, White, Female,0.0,0.0,15.0, United-States,0,0
55, Private,178282.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
30, Private,296462.0, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, Black, Male,0.0,0.0,40.0, United-States,0,0
55, Self-emp-not-inc,204387.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,1,1
56, Self-emp-inc,170287.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States,0,1
22, Private,155913.0, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,18.0, United-States,0,0
58, Private,315081.0, Assoc-acdm,12.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,42.0, United-States,1,1
55, Private,160631.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,56.0, United-States,1,0
19,,97261.0, Some-college,10.0, Never-married,, Own-child, White, Male,594.0,0.0,30.0, United-States,0,0
68, Private,182574.0, Some-college,10.0, Widowed, Adm-clerical, Not-in-family, White, Female,991.0,0.0,29.0, United-States,0,0
35, Private,327164.0, Assoc-acdm,12.0, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0.0,0.0,40.0, United-States,1,0
53, Private,231482.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States,0,1
23, Private,117767.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,36.0, United-States,0,0
33, State-gov,171151.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, Black, Female,0.0,0.0,40.0, United-States,0,0
24,,334105.0, 11th,7.0, Never-married,, Not-in-family, White, Female,0.0,0.0,30.0, United-States,0,0
22, Private,199915.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,10.0, United-States,0,0
41, State-gov,33474.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States,0,1
33, Private,236379.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,45.0, United-States,1,0
41, Private,145522.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,45.0, United-States,0,0
31, Private,175985.0, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,50.0, United-States,0,0
47, Private,363418.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,45.0, England,1,1
34, Private,215124.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
45, Self-emp-not-inc,165267.0, 9th,5.0, Married-civ-spouse, Transport-moving, Husband, Black, Male,0.0,0.0,40.0, United-States,0,0
35, Private,77792.0, HS-grad,9.0, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0.0,0.0,40.0,,0,0
74, Private,148867.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,6418.0,0.0,24.0, United-States,1,1
45, State-gov,53768.0, Masters,14.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,70.0, United-States,0,1
40, Self-emp-not-inc,308296.0, HS-grad,9.0, Divorced, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States,0,0
22, State-gov,62865.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,8.0, United-States,0,0
31, Private,241797.0, Some-college,10.0, Divorced, Tech-support, Unmarried, White, Female,0.0,0.0,40.0, United-States,0,0
32, Private,285946.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,50.0, United-States,0,0
35, Local-gov,405284.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,35.0, United-States,1,1
43, Private,91317.0, Assoc-acdm,12.0, Never-married, Craft-repair, Unmarried, White, Female,0.0,0.0,40.0, United-States,0,0
36, Self-emp-inc,200220.0, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,55.0, United-States,0,0
59, Self-emp-not-inc,190997.0, 10th,6.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,36.0, United-States,0,0
43, Private,151809.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,30.0, United-States,0,0
28, Local-gov,336951.0, Assoc-acdm,12.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States,1,1
42, Self-emp-not-inc,152889.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,52.0, United-States,0,0
58, Private,195878.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,24.0, Cuba,0,0
66, Private,197414.0, 7th-8th,4.0, Married-spouse-absent, Other-service, Not-in-family, White, Female,0.0,0.0,20.0, United-States,0,0
34, Private,61308.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,45.0, United-States,0,1
48, Private,143920.0, Masters,14.0, Divorced, Prof-specialty, Not-in-family, White, Male,0.0,0.0,25.0, United-States,0,0
51, Private,256908.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,50.0, United-States,0,0
22, Private,27881.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,45.0, United-States,0,0
37, Local-gov,170861.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,45.0, United-States,0,0
24, Private,394191.0, 12th,8.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,55.0, Germany,0,0
81, Self-emp-not-inc,184762.0, Some-college,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,25.0, Greece,0,0
35, Private,248694.0, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0,0
54, Federal-gov,149596.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,45.0, United-States,0,1
31, Private,356410.0, Assoc-voc,11.0, Married-civ-spouse, Sales, Husband, White, Male,99999.0,0.0,40.0, United-States,1,1
58, Local-gov,248739.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0,0
29, Local-gov,165218.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,55.0, United-States,0,0
56, Private,152874.0, Bachelors,13.0, Divorced, Prof-specialty, Unmarried, Black, Female,0.0,1741.0,40.0, United-States,0,0
21, Private,345253.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, Other, Male,2174.0,0.0,40.0, United-States,0,0
33, Private,186977.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, Columbia,0,0
17, Local-gov,157111.0, 10th,6.0, Never-married, Farming-fishing, Own-child, White, Male,0.0,0.0,40.0, United-States,0,0
64, Local-gov,172768.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
55, Private,200327.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,18.0, United-States,0,0
33, Private,323985.0, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,5.0, United-States,1,1
25, Private,34965.0, Some-college,10.0, Never-married, Sales, Other-relative, White, Male,0.0,0.0,40.0, United-States,0,0
45, Private,149388.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,48.0, United-States,1,0
41, Private,341204.0, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, United-States,1,1
30, Private,95639.0, 11th,7.0, Never-married, Handlers-cleaners, Other-relative, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States,0,0
32, Self-emp-not-inc,114419.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States,0,0
51,,189762.0, Some-college,10.0, Married-civ-spouse,, Wife, White, Female,0.0,0.0,18.0, United-States,0,0
49, Private,184285.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,1,0
27, Private,22422.0, Some-college,10.0, Never-married, Sales, Other-relative, White, Male,0.0,0.0,40.0, United-States,0,0
46, Private,93557.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
36, Private,24504.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States,0,0
58, Private,126104.0, 10th,6.0, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,65.0, United-States,0,0
22, Private,55614.0, HS-grad,9.0, Never-married, Handlers-cleaners, Unmarried, White, Male,0.0,0.0,40.0, United-States,0,0
39, Private,109351.0, Assoc-voc,11.0, Separated, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
48, Self-emp-inc,76482.0, Some-college,10.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,50.0, United-States,0,0
22, Private,162282.0, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, White, Male,0.0,0.0,55.0, United-States,0,0
65, Local-gov,188903.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,6418.0,0.0,45.0, United-States,1,1
23, Private,113511.0, HS-grad,9.0, Never-married, Craft-repair, Unmarried, White, Male,0.0,0.0,40.0, United-States,0,0
27, Private,339921.0, Some-college,10.0, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,38.0, Mexico,0,0
37, Private,60548.0, HS-grad,9.0, Widowed, Machine-op-inspct, Unmarried, White, Female,0.0,0.0,20.0, United-States,0,0
36, Private,186819.0, Assoc-acdm,12.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States,1,1
65, Private,90113.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,60.0, United-States,1,1
45, Private,274869.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States,0,0
68, Private,204680.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,37.0, United-States,0,0
22, Private,663291.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2105.0,0.0,40.0, United-States,0,0
47, Private,121622.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,40.0, United-States,1,1
32, Private,180303.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0.0,0.0,70.0, South,0,1
20, Self-emp-inc,266400.0, Some-college,10.0, Never-married, Handlers-cleaners, Own-child, White, Female,0.0,0.0,40.0, United-States,0,0
64, State-gov,169914.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
25, Private,60358.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,45.0, United-States,0,0
37, Private,152909.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,60.0, United-States,0,1
58, Private,177368.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
20, Private,180339.0, HS-grad,9.0, Never-married, Other-service, Other-relative, White, Female,0.0,0.0,35.0, United-States,0,0
21, Private,133582.0, 5th-6th,3.0, Never-married, Farming-fishing, Not-in-family, White, Male,2176.0,0.0,36.0, Mexico,0,0
50, Private,180439.0, Some-college,10.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,33.0, United-States,0,0
60, Private,125832.0, HS-grad,9.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,72.0, Canada,0,0
30, Private,100135.0, Bachelors,13.0, Never-married, Sales, Other-relative, White, Female,0.0,0.0,40.0, United-States,0,0
54, Private,387540.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, United-States,1,1
41, Private,109969.0, Some-college,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States,0,0
28, Private,258364.0, Some-college,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States,0,0
18, Federal-gov,54377.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,50.0, United-States,0,0
30, Self-emp-not-inc,113364.0, Some-college,10.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,30.0, United-States,0,0
23, Private,216129.0, Some-college,10.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,40.0, United-States,0,0
28, Private,238859.0, HS-grad,9.0, Never-married, Handlers-cleaners, Other-relative, White, Male,0.0,0.0,20.0, United-States,0,0
61, Private,206339.0, 10th,6.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0,0
34, Private,193172.0, HS-grad,9.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,35.0, United-States,0,0
28, Local-gov,91670.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,40.0, United-States,0,0
90, Private,197613.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,1,0
32, Private,364657.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States,1,1
43, State-gov,145166.0, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,84.0, United-States,0,0
37, State-gov,122493.0, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,55.0, United-States,1,1
34, Private,251521.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,40.0, United-States,1,1
40, Self-emp-not-inc,182516.0, Assoc-acdm,12.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, United-States,0,0
31, Self-emp-not-inc,113752.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States,0,0
43, Private,26252.0, Some-college,10.0, Separated, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0.0,0.0,36.0, United-States,0,0
41, Private,184630.0, Bachelors,13.0, Divorced, Handlers-cleaners, Not-in-family, White, Male,4416.0,0.0,40.0, United-States,0,0
21, Private,191265.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,40.0, United-States,0,0
36, Private,195148.0, Bachelors,13.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,40.0, United-States,0,0
62, Self-emp-not-inc,166894.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,60.0, United-States,0,0
35, Private,195946.0, Assoc-acdm,12.0, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, Thailand,0,0
30, Local-gov,197886.0, Assoc-acdm,12.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0,0
49, Private,191389.0, HS-grad,9.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
36, Local-gov,206951.0, Some-college,10.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States,0,1
60,,116746.0, 10th,6.0, Married-civ-spouse,, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
